keyword,created_at,user_id,text,relevante
rutas peligrosas,2024-07-08 20:00:19+00:00,360873356,#Migración | El cierre de los puntos de cruce estratégicos en esta densa selva ha obligado a los migrantes a buscar rutas alternativas más peligrosas y menos monitoreadas. Esta situación los expone a mayores riesgos de explotación y violencia: https://t.co/f9NvWUl5oj,True
inmigrante,2024-07-09 23:54:26+00:00,1708940871410810880,@williams_wilsa @UHN_Plus Un inmigrante ilegal no tiene idea de eso,True
inmigrante,2024-07-09 23:51:32+00:00,1766594770539802624,@c4jimenez @liviabritoof @FiscaliaCDMX Esa pinche inmigrante de cagada mándenla a chaspm,True
inmigrante,2024-07-09 23:47:12+00:00,82457920,"@whitezuelans Turista en su país, inmigrante en cualquier otro lugar del mundo",True
inmigrante,2024-07-09 23:46:30+00:00,4260663917,@Yolanda_Diaz_ Sabrá la diferencia entre inmigrante y emigrante???,True
inmigrante,2024-07-09 23:45:10+00:00,1785774920636444672,@CapitanBitcoin Pobres criaturas ignorantes con tanto inmigrante y si no empiezan por alinear a los musulmanes lo que bles espera pobres criaturas ignorantes,True
inmigrante,2024-07-09 23:44:16+00:00,750588996,"@UHN_Plus Estan idiotas o qué? Entiendo que pidan que se vayan los refugiados o los inmigrante ilegales, pero los turistas wow.",True
inmigrante,2024-07-09 23:44:07+00:00,1806096250955264000,@DiarioOle Que vaya a robar con la política el inmigrante. Viene de afuera y quiere cagarle la vida a los franceses,True
inmigrante,2024-07-09 23:44:07+00:00,1063824047123898369,@FonsiLoaiza Normal idiota! si llega a paro el inmigrante necesita subsistir de algo. Tu eres Español y o puedes hablar de esto. Resulta que si le haces una oferta de trabajo a un inmigrante le pueden dar una residencia por ser un trabajado  por si especificación de actor. Sigo hilo...,True
inmigrante,2024-07-09 23:43:05+00:00,1434653219628662789,"Si es inmigrante de Perú: ""Nos vienen a sacar el trabajo""
Si es inmigrante de Europa: ""Hay que darle oportunidades a todos"".",True
buscando una vida mejor,2024-07-09 22:53:47+00:00,1478822803596005386,"@CapitanBitcoin Es difícil justificar y empatizar con estas menores. El problema es que saben que al ser menores el peso de la justicia no les caerá encima. El verdadero inmigrante que viene buscando una mejor vida, solo trabaja, no busca delinquir. Pero éstos cárcel y luego expulsión.",True
cruzar la frontera,2024-07-10 00:00:45+00:00,140083975,Los operativos en la frontera México-EE.UU. empujan a los migrantes a cruzar por el desierto https://t.co/XKkN2doK36 https://t.co/UtNcwmRXpH,True
cruzar la frontera,2024-07-09 20:23:10+00:00,1244357988,"🇲🇽 🇺🇸 El acoso en la frontera entre México y Texas no solo afecta a los migrantes que buscan cruzar a Estados Unidos, sino también a quienes los ayudan y les ofrecen comida, ropa y un lugar para dormir

✍️@wendyselene
https://t.co/4MSjShJTKM",True
deportación,2024-07-09 23:30:22+00:00,1550072568723689473,"💰No se requiere esfuerzo físico ni tiempo.💰

Se pagará una recompensa de hasta 50.000 yenes a quien encuentre a un inmigrante ilegal y lo denuncie a la ""Agencia de Gestión de Inmigración y Residencia"", si la denuncia acaba en deportación.
https://t.co/GiI329XFmH",True
