Fecha,Genero,comment,porcentaje,tipo_sentimiento
2024-02-01,Hombre,My passage through Mexico was complicated.,-0.5,Negativo
2024-05-16,Mujer,"The authorities were kind, but the risks on the road are high.",0.38,Positivo
2024-05-04,Mujer,"I hope to reach my destination in Mexico; it has its challenges, but also people willing to help at
every step.",0.25,Neutral
2024-07-10,Mujer,"Every day in Mexico is a new challenge, but each step brings me closer to my destination.",0.13636363636363635,Neutral
2024-01-21,Hombre,My passage through Mexico has taught me to be strong and to trust in the kindness of others.,0.4333333333333333,Positivo
2024-07-23,Hombre,"The journey is exhausting, but the smiles and help from the people give me strength.",-0.4,Negativo
2024-09-15,Mujer,"Mexico has been a bittersweet experience, with good moments and others that are very difficult.",0.024999999999999967,Neutral
2024-05-20,Hombre,"The journey through Mexico has been long, but the people in the towns are very supportive.",0.3,Positivo
2024-02-15,Mujer,"I have encountered much kindness along the way, although difficulties are not lacking.",0.2,Neutral
2024-11-07,Mujer,"I have gone through moments of fear, but I have also received unexpected help.",0.1,Neutral
2024-02-28,Hombre,"The road has been long and dangerous, but kind people make it worthwhile.",0.11249999999999999,Neutral
2024-03-29,Hombre,"The authorities have treated me well, but there are many dangers on the road.",0.5,Positivo
2024-08-17,Hombre,This journey through Mexico has shown me the best and the worst of humanity.,0.0,Neutral
2024-01-26,Mujer,The support from people in some parts of Mexico has been a true relief.,0.35,Positivo
2024-07-21,Mujer,"Mexico is a complicated country for migrants, but I do not lose hope.",-0.5,Negativo
2024-10-21,Hombre,"Passing through Mexico has been a challenge, but hope keeps me standing.",0.0,Neutral
2024-04-04,Hombre,"Every day is a struggle, but I move forward with the hope of a better future.",0.25,Neutral
2024-02-26,Mujer,"The weather and terrain have been harsh, but I continue with faith in my future.",-0.1,Neutral
2024-03-12,Hombre,"Some places have been dangerous, but I have found refuge in the generosity of strangers.",-0.6,Tristeza
2024-10-28,Mujer,I have found much solidarity in the shelters of Mexico; that gives me encouragement.,0.2,Neutral
2024-03-04,Hombre,"I have suffered a lot, but I have also met people who have helped me selflessly.",0.0,Neutral
2024-10-29,Hombre,"Insecurity is a constant concern, but I continue with the hope of a better tomorrow.",0.25,Neutral
2024-05-08,Hombre,"Crossing Mexico has been hard, but I am grateful for the help I have received in the shelters.",-0.2916666666666667,Negativo
2024-11-27,Mujer,"The journey is difficult, but the hope of a new life drives me to keep going.",-0.18181818181818182,Neutral
2024-10-29,Hombre,"Mexico is a beautiful country, but the road is dangerous and full of uncertainties.",0.19999999999999998,Neutral
2024-06-19,Mujer,"Some days are harder than others, but I keep moving forward with the hope of a better future.",0.13333333333333333,Neutral
2024-05-14,Mujer,"I have met wonderful people in Mexico, but I have also faced many challenges.",0.75,Alegría
2024-04-22,Mujer,The support of the community has been vital to continue my journey through Mexico.,0.1,Neutral
2024-02-16,Mujer,"Every step is a challenge, but I do not lose faith in reaching a safe place.",0.5,Positivo
2024-10-11,Hombre,"Mexico has been a country of contrasts for me, with moments of hope and others of fear.",0.0,Neutral
2024-01-18,Mujer,"The dangers are real, but the solidarity I have found along the way gives me strength.",0.2,Neutral
2024-03-14,Hombre,"The journey has been long, but the good people I have met make it more bearable.",0.3833333333333333,Positivo
